Timestamp,Tag_Name,State,Duration_Sec
2026-09-01T08:57:55.093043+00:00,ConveyorLightBarrier,HIGH,39.638
2026-09-01T08:57:56.626116+00:00,ConveyorBelt,LOW,41.171
2026-09-01T08:57:56.626952+00:00,SeparatorValve,LOW,41.171
2026-09-01T08:57:57.064150+00:00,ConveyorLightBarrier,LOW,1.971
2026-09-01T08:57:59.121270+00:00,ConveyorBelt,HIGH,2.495
2026-09-01T08:57:59.122033+00:00,SeparatorValve,HIGH,2.495
2026-09-01T08:58:05.844242+00:00,ConveyorLightBarrier,HIGH,8.780
2026-09-01T08:58:07.923985+00:00,ConveyorBelt,LOW,8.803
2026-09-01T08:58:07.924451+00:00,SeparatorValve,LOW,8.803
2026-09-01T08:58:07.924846+00:00,ConveyorLightBarrier,LOW,2.080
2026-09-01T08:58:10.559832+00:00,ConveyorBelt,HIGH,2.636
2026-09-01T08:58:10.560581+00:00,SeparatorValve,HIGH,2.636
2026-09-01T08:58:17.238037+00:00,ConveyorLightBarrier,HIGH,9.314
2026-09-01T08:58:19.319816+00:00,ConveyorBelt,LOW,8.760
2026-09-01T08:58:19.320619+00:00,SeparatorValve,LOW,8.760
2026-09-01T08:58:19.321078+00:00,ConveyorLightBarrier,LOW,2.082
2026-09-01T08:58:21.373452+00:00,SliderMotor,LOW,65.919
2026-09-01T08:58:21.374216+00:00,ConveyorBelt,HIGH,2.054
2026-09-01T08:58:21.374811+00:00,SeparatorValve,HIGH,2.054
2026-09-01T08:58:21.922789+00:00,SliderInPosition,HIGH,66.468
2026-09-01T08:58:21.923480+00:00,PalletLightBarrier,HIGH,66.468
2026-09-01T08:58:22.910474+00:00,SliderMotor,HIGH,1.537
2026-09-01T08:58:22.911211+00:00,SliderInPosition,LOW,0.988
2026-09-01T08:58:28.032494+00:00,ConveyorLightBarrier,HIGH,8.713
2026-09-01T08:58:30.108118+00:00,ConveyorBelt,LOW,8.735
2026-09-01T08:58:30.109004+00:00,SeparatorValve,LOW,8.735
2026-09-01T08:58:30.654524+00:00,ConveyorLightBarrier,LOW,2.622
2026-09-01T08:58:32.730980+00:00,ConveyorBelt,HIGH,2.623
2026-09-01T08:58:32.731710+00:00,SeparatorValve,HIGH,2.623
2026-09-01T08:58:39.409693+00:00,ConveyorLightBarrier,HIGH,8.755
2026-09-01T08:58:41.406425+00:00,ConveyorBelt,LOW,8.675
2026-09-01T08:58:41.407272+00:00,SeparatorValve,LOW,8.675
2026-09-01T08:58:41.407705+00:00,ConveyorLightBarrier,LOW,1.997
2026-09-01T08:58:44.039924+00:00,ConveyorBelt,HIGH,2.633
2026-09-01T08:58:44.040769+00:00,SeparatorValve,HIGH,2.633
2026-09-01T08:58:50.700805+00:00,ConveyorLightBarrier,HIGH,9.294
2026-09-01T08:58:52.218400+00:00,ConveyorBelt,LOW,8.178
2026-09-01T08:58:52.219225+00:00,SeparatorValve,LOW,8.178
2026-09-01T08:58:52.760566+00:00,ConveyorLightBarrier,LOW,2.060
2026-09-01T08:58:54.819424+00:00,SliderMotor,LOW,31.909
2026-09-01T08:58:54.820213+00:00,ConveyorBelt,HIGH,2.601
2026-09-01T08:58:54.820678+00:00,SeparatorValve,HIGH,2.601
2026-09-01T08:58:55.366235+00:00,SliderInPosition,HIGH,32.456
2026-09-01T08:58:56.347719+00:00,SliderMotor,HIGH,1.528
2026-09-01T08:58:56.348477+00:00,SliderInPosition,LOW,0.981
