Timestamp,Tag_Name,State,Duration_Sec
2026-09-01T08:57:51.062388+00:00,RotateToTable,LOW,35.507
2026-09-01T08:57:52.140895+00:00,RotateToTable,HIGH,1.079
2026-09-01T08:57:52.141474+00:00,VacuumGripper,LOW,36.586
2026-09-01T08:57:52.141843+00:00,UnitAtTurntable,LOW,36.586
2026-09-01T08:57:53.346861+00:00,RotateToConveyor,LOW,37.792
2026-09-01T08:57:53.347793+00:00,UnitAtTurntable,HIGH,1.206
2026-09-01T08:57:54.982175+00:00,RotateToConveyor,HIGH,1.635
2026-09-01T08:57:54.982965+00:00,VacuumGripper,HIGH,2.841
2026-09-01T08:57:54.983398+00:00,UnitAtConveyor,LOW,39.427
2026-09-01T08:57:56.073960+00:00,RotateToTable,LOW,3.933
2026-09-01T08:57:56.074595+00:00,UnitAtConveyor,HIGH,1.092
2026-09-01T08:57:56.735621+00:00,RotateToTable,HIGH,0.662
2026-09-01T08:58:02.263509+00:00,RotateToTable,LOW,5.528
2026-09-01T08:58:02.915756+00:00,RotateToTable,HIGH,0.652
2026-09-01T08:58:02.916494+00:00,VacuumGripper,LOW,7.934
2026-09-01T08:58:02.916929+00:00,UnitAtTurntable,LOW,9.569
2026-09-01T08:58:04.554546+00:00,RotateToConveyor,LOW,9.572
2026-09-01T08:58:04.555321+00:00,UnitAtTurntable,HIGH,1.639
2026-09-01T08:58:05.734858+00:00,RotateToConveyor,HIGH,1.180
2026-09-01T08:58:05.735728+00:00,VacuumGripper,HIGH,2.819
2026-09-01T08:58:05.736170+00:00,UnitAtConveyor,LOW,9.661
2026-09-01T08:58:06.826980+00:00,RotateToTable,LOW,3.911
2026-09-01T08:58:06.827709+00:00,UnitAtConveyor,HIGH,1.092
2026-09-01T08:58:07.923074+00:00,RotateToTable,HIGH,1.096
2026-09-01T08:58:13.622630+00:00,RotateToTable,LOW,5.700
2026-09-01T08:58:14.171739+00:00,RotateToTable,HIGH,0.549
2026-09-01T08:58:14.172472+00:00,VacuumGripper,LOW,8.437
2026-09-01T08:58:14.172919+00:00,UnitAtTurntable,LOW,9.617
2026-09-01T08:58:15.814939+00:00,RotateToConveyor,LOW,10.080
2026-09-01T08:58:15.815730+00:00,UnitAtTurntable,HIGH,1.643
2026-09-01T08:58:16.911802+00:00,RotateToConveyor,HIGH,1.097
2026-09-01T08:58:16.912542+00:00,VacuumGripper,HIGH,2.740
2026-09-01T08:58:16.912992+00:00,UnitAtConveyor,LOW,10.085
2026-09-01T08:58:18.113383+00:00,RotateToTable,LOW,3.942
2026-09-01T08:58:18.114112+00:00,UnitAtConveyor,HIGH,1.202
2026-09-01T08:58:19.210806+00:00,RotateToTable,HIGH,1.097
2026-09-01T08:58:24.877877+00:00,RotateToTable,LOW,5.667
2026-09-01T08:58:25.424382+00:00,RotateToTable,HIGH,0.547
2026-09-01T08:58:25.425236+00:00,VacuumGripper,LOW,8.513
2026-09-01T08:58:25.425708+00:00,UnitAtTurntable,LOW,9.609
2026-09-01T08:58:27.065038+00:00,RotateToConveyor,LOW,10.153
2026-09-01T08:58:27.065790+00:00,UnitAtTurntable,HIGH,1.641
2026-09-01T08:58:28.250124+00:00,RotateToConveyor,HIGH,1.185
2026-09-01T08:58:28.250980+00:00,VacuumGripper,HIGH,2.826
2026-09-01T08:58:28.251449+00:00,UnitAtConveyor,LOW,10.137
2026-09-01T08:58:29.342613+00:00,RotateToTable,LOW,3.918
2026-09-01T08:58:29.343494+00:00,UnitAtConveyor,HIGH,1.092
2026-09-01T08:58:29.886606+00:00,RotateToTable,HIGH,0.544
2026-09-01T08:58:36.119809+00:00,RotateToTable,LOW,6.233
2026-09-01T08:58:36.666660+00:00,RotateToTable,HIGH,0.547
2026-09-01T08:58:36.667458+00:00,VacuumGripper,LOW,8.417
2026-09-01T08:58:36.667895+00:00,UnitAtTurntable,LOW,9.602
2026-09-01T08:58:37.764731+00:00,RotateToConveyor,LOW,9.515
2026-09-01T08:58:38.410380+00:00,UnitAtTurntable,HIGH,1.744
2026-09-01T08:58:39.521599+00:00,RotateToConveyor,HIGH,1.757
2026-09-01T08:58:39.522319+00:00,VacuumGripper,HIGH,2.855
2026-09-01T08:58:39.522781+00:00,UnitAtConveyor,LOW,10.179
2026-09-01T08:58:40.626549+00:00,RotateToTable,LOW,3.960
2026-09-01T08:58:40.627301+00:00,UnitAtConveyor,HIGH,1.105
2026-09-01T08:58:41.183044+00:00,RotateToTable,HIGH,0.556
2026-09-01T08:58:46.867411+00:00,RotateToTable,LOW,5.684
2026-09-01T08:58:47.415659+00:00,RotateToTable,HIGH,0.548
2026-09-01T08:58:47.416474+00:00,VacuumGripper,LOW,7.894
2026-09-01T08:58:47.416872+00:00,UnitAtTurntable,LOW,9.005
2026-09-01T08:58:49.055201+00:00,RotateToConveyor,LOW,9.534
2026-09-01T08:58:49.055881+00:00,UnitAtTurntable,HIGH,1.640
2026-09-01T08:58:50.808301+00:00,RotateToConveyor,HIGH,1.753
2026-09-01T08:58:50.809152+00:00,VacuumGripper,HIGH,3.393
2026-09-01T08:58:50.809681+00:00,UnitAtConveyor,LOW,10.182
2026-09-01T08:58:51.356206+00:00,RotateToTable,LOW,3.941
2026-09-01T08:58:51.889433+00:00,UnitAtConveyor,HIGH,1.081
2026-09-01T08:58:52.431453+00:00,RotateToTable,HIGH,1.075
