Layer,Boundary,Protocol,Latency_ms
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.4651756286621094
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.221822738647461
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.168344497680664
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.42699241638184
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.114866256713867
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.3518333435058594
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.331827163696289
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,189.91851806640625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.9654502868652344
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.7534961700439453
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.928350448608398
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,189.4173622131348
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.107786178588867
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.8705596923828125
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.848241806030273
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,189.2096996307373
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.263401031494141
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.447916030883789
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.059076309204102
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.26422500610352
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.5833587646484375
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.124713897705078
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.715681076049805
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,187.90173530578613
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.386425018310547
