Boundary,Protocol,Src_IP,Dst_IP,RTT_ms
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,21.532773971557617
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,59.75198745727539
Middleware -> S7-1200 (OPC UA),OPC UA,192.168.50.10,192.168.50.40,22.002458572387695
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.390073776245117
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.390478134155273
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.913091659545898
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.412174224853516
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.966974258422852
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.170894622802734
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.002021789550781
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.696130752563477
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.933834075927734
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.375146865844727
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.000476837158203125
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,1.7461776733398438
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.263401031494141
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.084587097167969
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.638671875
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.6787261962890625
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,1.8191337585449219
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.587961196899414
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.9539337158203125
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,5.117893218994141
Middleware -> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.744529724121094
Ignition SCADA -> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,0.0002384185791015625
