Boundary,Protocol,Src_IP,Dst_IP,RTT_ms
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.4651756286621094
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.221822738647461
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.168344497680664
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,191.42699241638184
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.114866256713867
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.3518333435058594
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.331827163696289
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,189.91851806640625
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,2.9654502868652344
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.7534961700439453
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.928350448608398
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,189.41736221313477
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.107786178588867
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.8705596923828125
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.848241806030273
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,189.2096996307373
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.263401031494141
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.447916030883789
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.059076309204102
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,190.26422500610352
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.5833587646484375
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,3.124713897705078
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.715681076049805
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,187.90173530578613
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.386425018310547
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,3.025054931640625
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.167722702026367
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,187.15500831604004
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.540132522583008
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.170562744140625
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.3910274505615234
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,189.24450874328613
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.307985305786133
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,3.113269805908203
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.814386367797852
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,187.49666213989258
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.210710525512695
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.5039443969726562
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.169702529907227
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,190.17577171325684
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.436731338500977
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.2640953063964844
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.132198333740234
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,189.18514251708984
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.419637680053711
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.293109893798828
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.0808448791503906
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,191.2388801574707
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.7450790405273438
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.9991397857666016
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.4160614013671875
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,190.84739685058594
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.4728050231933594
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.268075942993164
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.620624542236328
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,190.72413444519043
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.9598941802978516
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.7383098602294922
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.2134056091308594
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,191.1454200744629
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.072593688964844
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.6397705078125
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.118846893310547
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,187.15906143188477
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.462646484375
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.286195755004883
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.2749176025390625
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,189.44978713989258
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,2.9485225677490234
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.3622512817382812
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.0159950256347656
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,191.30682945251465
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.0961036682128906
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,3.0438899993896484
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.192995071411133
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,188.67778778076172
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.312753677368164
