Boundary,Protocol,Timestamp,Frame_Bytes,TCP_Payload_Bytes
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255188.9003475,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255188.9014688,65,11
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255188.9014702,60,0
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255188.903145,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255188.9031458,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255188.9041717,66,12
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255188.905702,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255188.9066103,69,15
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255188.906611,65,11
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255188.908832,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255188.9120004,66,12
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255188.9397368,153,99
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255188.948184,125,71
Middleware <-> TM221 (Modbus TCP),Modbus TCP,1788255188.948186,60,0
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255188.9481864,60,0
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255189.1034274,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255189.1075423,69,15
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255189.108894,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255189.113226,66,12
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255189.2157092,150,96
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255189.222884,128,74
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2228847,118,64
Middleware <-> S7-1200 (OPC UA),OPC UA,1788255189.2228854,60,0
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2267675,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2267683,60,0
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.228565,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2325754,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2342236,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2386658,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2398956,122,68
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2441254,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2455082,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2497976,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2512832,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2557006,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2568748,118,64
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2615974,107,53
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2626872,128,74
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2671278,108,54
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.26824,130,76
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2726512,108,54
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2738628,122,68
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,1788255189.2781818,108,54
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1788255189.2865224,259,205
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1788255189.287416,125,71
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1788255189.2874162,60,0
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255189.3031445,66,12
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255189.30611,69,15
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1788255189.3088634,66,12
