device,protocol,sample_index,latency_ms
RPi Middleware<->SCADA,OPC UA,0,8.895099999790546
RPi Middleware<->SCADA,OPC UA,1,9.538199999951757
RPi Middleware<->SCADA,OPC UA,2,5.634000001009554
RPi Middleware<->SCADA,OPC UA,3,5.011099998228019
RPi Middleware<->SCADA,OPC UA,4,4.932700001518242
RPi Middleware<->SCADA,OPC UA,5,4.943200001434889
RPi Middleware<->SCADA,OPC UA,6,4.964399999153102
RPi Middleware<->SCADA,OPC UA,7,4.898399998637615
RPi Middleware<->SCADA,OPC UA,8,4.8583999996481
RPi Middleware<->SCADA,OPC UA,9,4.983700000593672
RPi Middleware<->SCADA,OPC UA,10,4.9776000014389865
RPi Middleware<->SCADA,OPC UA,11,4.949199999828124
RPi Middleware<->SCADA,OPC UA,12,5.076500001450768
RPi Middleware<->SCADA,OPC UA,13,5.797800000436837
RPi Middleware<->SCADA,OPC UA,14,5.644100001518382
RPi Middleware<->SCADA,OPC UA,15,5.0685000023804605
RPi Middleware<->SCADA,OPC UA,16,5.012199999328004
RPi Middleware<->SCADA,OPC UA,17,4.9385999991500285
RPi Middleware<->SCADA,OPC UA,18,5.00100000135717
RPi Middleware<->SCADA,OPC UA,19,4.925299999740673
RPi Middleware<->SCADA,OPC UA,20,5.1048000023001805
RPi Middleware<->SCADA,OPC UA,21,4.9450000005890615
RPi Middleware<->SCADA,OPC UA,22,5.138500000612112
RPi Middleware<->SCADA,OPC UA,23,5.10510000094655
RPi Middleware<->SCADA,OPC UA,24,5.551100002776366
RPi Middleware<->SCADA,OPC UA,25,4.8097999970195815
RPi Middleware<->SCADA,OPC UA,26,4.930200000671903
RPi Middleware<->SCADA,OPC UA,27,4.95999999839114
RPi Middleware<->SCADA,OPC UA,28,5.394299998442875
RPi Middleware<->SCADA,OPC UA,29,5.0172999981441535
RPi Middleware<->SCADA,OPC UA,30,5.1640999990922865
RPi Middleware<->SCADA,OPC UA,31,4.956000000674976
RPi Middleware<->SCADA,OPC UA,32,5.046599999332102
RPi Middleware<->SCADA,OPC UA,33,4.8960000021907035
RPi Middleware<->SCADA,OPC UA,34,4.976500000339001
RPi Middleware<->SCADA,OPC UA,35,4.817500001081498
RPi Middleware<->SCADA,OPC UA,36,5.0045999996655155
RPi Middleware<->SCADA,OPC UA,37,4.957299999659881
RPi Middleware<->SCADA,OPC UA,38,6.230499999219319
RPi Middleware<->SCADA,OPC UA,39,5.440799999632873
RPi Middleware<->SCADA,OPC UA,40,5.016600000089966
RPi Middleware<->SCADA,OPC UA,41,4.83170000006794
RPi Middleware<->SCADA,OPC UA,42,5.056800000602379
RPi Middleware<->SCADA,OPC UA,43,4.874200003541773
RPi Middleware<->SCADA,OPC UA,44,5.002900001272792
RPi Middleware<->SCADA,OPC UA,45,4.93800000185729
RPi Middleware<->SCADA,OPC UA,46,4.997299998649396
RPi Middleware<->SCADA,OPC UA,47,4.888699997536605
RPi Middleware<->SCADA,OPC UA,48,5.041799999162322
RPi Middleware<->SCADA,OPC UA,49,4.911599997285521
RPi Middleware<->SCADA,OPC UA,50,5.152400000952184
RPi Middleware<->SCADA,OPC UA,51,5.0069999997504056
RPi Middleware<->SCADA,OPC UA,52,5.021999997552484
RPi Middleware<->SCADA,OPC UA,53,4.969199999322882
RPi Middleware<->SCADA,OPC UA,54,5.010500000935281
RPi Middleware<->SCADA,OPC UA,55,4.90429999990738
RPi Middleware<->SCADA,OPC UA,56,5.0808999985747505
RPi Middleware<->SCADA,OPC UA,57,4.841999998461688
RPi Middleware<->SCADA,OPC UA,58,5.085299999336712
