Boundary,Protocol,Time_Bin_Start_Sec,Bytes,Packets,Bytes_per_Sec,Packets_per_Sec
Ignition SCADA <-> Middleware (OPC UA),OPC UA,0.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,1.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,2.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,3.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,4.0,1258,10,1258.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,5.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,6.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,7.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,8.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,9.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,10.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,11.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,12.0,960,6,960.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,13.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,14.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,15.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,16.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,17.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,18.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,19.0,1322,10,1322.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,20.0,1040,6,1040.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,21.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,22.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,23.0,488,3,488.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,24.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,25.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,26.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,27.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,28.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,29.0,623,3,623.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,30.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,31.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,32.0,942,6,942.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,33.0,851,6,851.0,6.0
