[Version1]
FullName,Value
Controller.Micro820.Micro820.__SYSVA_ABORT_CYCLE,FALSE
Controller.Micro820.Micro820.__SYSVA_CCEXEC,FALSE
Controller.Micro820.Micro820.__SYSVA_CYCLECNT,229607
Controller.Micro820.Micro820.__SYSVA_CYCLEDATE,T#10m30s816ms
Controller.Micro820.Micro820.__SYSVA_FIRST_SCAN,FALSE
Controller.Micro820.Micro820.__SYSVA_KVBCERR,FALSE
Controller.Micro820.Micro820.__SYSVA_KVBPERR,FALSE
Controller.Micro820.Micro820.__SYSVA_MAJ_ERR_HALT,FALSE
Controller.Micro820.Micro820.__SYSVA_POWERUP_BIT,FALSE
Controller.Micro820.Micro820.__SYSVA_PROJ_INCOMPLETE,0
Controller.Micro820.Micro820.__SYSVA_REMOTE,TRUE
Controller.Micro820.Micro820.__SYSVA_RESMODE,3
Controller.Micro820.Micro820.__SYSVA_RESNAME,'CONTROLLER\MICRO820\MICRO820'
Controller.Micro820.Micro820.__SYSVA_SCANCNT,229606
Controller.Micro820.Micro820.__SYSVA_SUSPEND_ID,0
Controller.Micro820.Micro820.__SYSVA_TCYCURRENT,T#3ms
Controller.Micro820.Micro820.__SYSVA_TCYCYCTIME,T#0s
Controller.Micro820.Micro820.__SYSVA_TCYMAXIMUM,T#6ms
Controller.Micro820.Micro820.__SYSVA_TCYOVERFLOW,0
Controller.Micro820.Micro820.__SYSVA_TCYWDG,2000
Controller.Micro820.Micro820.__SYSVA_USER_DATA_LOST,FALSE
Controller.Micro820.Micro820._IO_EM_AI_00,0
Controller.Micro820.Micro820._IO_EM_AI_01,0
Controller.Micro820.Micro820._IO_EM_AI_02,0
Controller.Micro820.Micro820._IO_EM_AI_03,0
Controller.Micro820.Micro820._IO_EM_AO_00,0
Controller.Micro820.Micro820._IO_EM_DI_00,FALSE
Controller.Micro820.Micro820._IO_EM_DI_01,FALSE
Controller.Micro820.Micro820._IO_EM_DI_02,FALSE
Controller.Micro820.Micro820._IO_EM_DI_03,FALSE
Controller.Micro820.Micro820._IO_EM_DI_04,FALSE
Controller.Micro820.Micro820._IO_EM_DI_05,FALSE
Controller.Micro820.Micro820._IO_EM_DI_06,TRUE
Controller.Micro820.Micro820._IO_EM_DI_07,TRUE
Controller.Micro820.Micro820._IO_EM_DI_08,FALSE
Controller.Micro820.Micro820._IO_EM_DI_09,TRUE
Controller.Micro820.Micro820._IO_EM_DI_10,FALSE
Controller.Micro820.Micro820._IO_EM_DI_11,FALSE
Controller.Micro820.Micro820._IO_EM_DO_00,FALSE
Controller.Micro820.Micro820._IO_EM_DO_01,FALSE
Controller.Micro820.Micro820._IO_EM_DO_02,FALSE
Controller.Micro820.Micro820._IO_EM_DO_03,FALSE
Controller.Micro820.Micro820._IO_EM_DO_04,FALSE
Controller.Micro820.Micro820._IO_EM_DO_05,FALSE
Controller.Micro820.Micro820._IO_EM_DO_06,TRUE
Controller.Micro820.Micro820.conveyorDone,
Controller.Micro820.Micro820.ConveyorTransferDone,FALSE
Controller.Micro820.Micro820.ConvStep,0
Controller.Micro820.Micro820.Main.readCopyStatus,0
Controller.Micro820.Micro820.Main.readError,FALSE
Controller.Micro820.Micro820.Main.readStatus,0
Controller.Micro820.Micro820.Main.TransferUnit_1.dropping,
Controller.Micro820.Micro820.Main.TransferUnit_1.droppingTimer.ET,
Controller.Micro820.Micro820.Main.TransferUnit_1.droppingTimer.IN,
Controller.Micro820.Micro820.Main.TransferUnit_1.droppingTimer.Pdate,
Controller.Micro820.Micro820.Main.TransferUnit_1.droppingTimer.PT,
Controller.Micro820.Micro820.Main.TransferUnit_1.droppingTimer.Q,
Controller.Micro820.Micro820.Main.TransferUnit_1.droppingTimer.Redge,
Controller.Micro820.Micro820.Main.TransferUnit_1.gripping,
Controller.Micro820.Micro820.Main.TransferUnit_1.grippingTimer.ET,
Controller.Micro820.Micro820.Main.TransferUnit_1.grippingTimer.IN,
Controller.Micro820.Micro820.Main.TransferUnit_1.grippingTimer.Pdate,
Controller.Micro820.Micro820.Main.TransferUnit_1.grippingTimer.PT,
Controller.Micro820.Micro820.Main.TransferUnit_1.grippingTimer.Q,
Controller.Micro820.Micro820.Main.TransferUnit_1.grippingTimer.Redge,
Controller.Micro820.Micro820.Main.TransferUnit_1.retreating,
Controller.Micro820.Micro820.Main.TransferUnit_1.retreatingTimer.ET,
Controller.Micro820.Micro820.Main.TransferUnit_1.retreatingTimer.IN,
Controller.Micro820.Micro820.Main.TransferUnit_1.retreatingTimer.Pdate,
Controller.Micro820.Micro820.Main.TransferUnit_1.retreatingTimer.PT,
Controller.Micro820.Micro820.Main.TransferUnit_1.retreatingTimer.Q,
Controller.Micro820.Micro820.Main.TransferUnit_1.retreatingTimer.Redge,
Controller.Micro820.Micro820.Main.writeCopyStatus,0
Controller.Micro820.Micro820.Main.writeError,FALSE
Controller.Micro820.Micro820.Main.writeStatus,0
Controller.Micro820.Micro820.optaHandshakeReg,0
Controller.Micro820.Micro820.partAvailable,TRUE
Controller.Micro820.Micro820.seimensHandshakeReg,0
Controller.Micro820.Micro820.TRANSFER_PART_DONE,0
Controller.Micro820.Micro820.TRANSFER_PART_IDLE,0
Controller.Micro820.Micro820.TRANSFER_PART_READY,0
Controller.Micro820.Micro820.workpieceCounter,0
